SLF7045T-151MR40-PF,"",150uH,20,0.4,7045,TDK,"Inductor for power circuits Wound ferrite SLF series",IND,SLF7045T,""
LQH32DN151K23,"",150uH,10,80mA,1210,MuRata,"Wire Wound Ferrite Inductor for Power Lines",IND,LQH32DN_23L,""
TCK-062,"",12uH,20,1.4,"","Traco Power","Power Inductor",IND,TCK-062,""
