SS16,"",1,0.2mA,0.75,42,SMA,Vishay,"Surface Mount Schottky Barrier Rectifier",SHOTTKY,DO-214AC,""
BAT54S,"",0.2,2uA,0.8,30,sot-23,NXP,"Schottky barrier diodes",schottky-A1C2CA3,SOT-23,""
MBRS340T3G,"",3,2mA,0.5,40,SMC,"ON Semiconductor","Schottky barrier diodes",SHOTTKY,SMC,""
