BLM21PG221SN1D,"",220,25,2,0805,MuRata,"Дроссель подавления ЭМП",IND,F0805,""
DLW5BTM142TQ2L,"",1400,"",2,2020,MuRata,"Фильтр ЭМП",DLW5BTM142TQ2,"",""
ACP3225-102-2P-T,"",1000,"",1.5,1210,TDK,"Фильтр ЭМП",ACP3225,ACP3225(3D),""
