PIC32MX174F256D-I/PT,"",TQFP44,Microchip,"32-bit XLP Microcontrollers (up to 256 KB Flash and 64 KB SRAM) with Audio and Graphics Interfaces, USB, and Advanced Analog",PIC32MX174F256D-I/PT,TQFP44,""
PIC32MX174F256B-I/M,"",QFN-S,Microchip,"32-bit XLP Microcontrollers (up to 256 KB Flash and 64 KB SRAM) with Audio and Graphics Interfaces, USB, and Advanced Analog",PIC32MX174F256B-IM,QFN-S,""
